generation,cell,birth,white (end),green (end),round (start),cell division,cell death,cell lost,überlebt,TRAIL,video end,,
1,279.2,114,,,,,140,,,74,193,,
0,280,39,56,109,109,109,,,,74,193,,
1,280.1,109,,,,,126,,,74,193,,
1,280.2,109,,,,,126,,,74,193,,
0,281,,39,78,78,78,,,,74,193,,
1,281.1,78,101,,,,132,,,74,193,,
1,281.2,78,101,143,143,143,,,,74,193,,
2,281.21,143,,,,,170,,,74,193,,
2,281.22,143,,,,,170,,,74,193,,
0,282,23,49,95,95,95,,,1,74,193,,
1,282.1,95,121,177,177,177,,,1,74,193,,
1,282.2,95,128,175,175,175,,,1,74,193,,
2,282.11,177,,,,,,,1,74,193,,
2,282.12,177,,,,,,,1,74,193,,
2,282.21,175,,,,,,,1,74,193,,
2,282.22,175,,,,,,,1,74,193,,
0,283,14,35,83,83,83,,,1,74,193,,
1,283.1,83,125,183,183,183,,,1,74,193,,
1,283.2,83,131,180,180,180,,,1,74,193,,
2,283.21,180,,,,,,,1,74,193,,
2,283.22,180,,,,,,,1,74,193,,
2,283.11,183,,,,,,,1,74,193,,
2,283.12,183,,,,,,,1,74,193,,
0,284,,54,90,90,90,,,,74,193,,
1,284.1,90,,,,,103,,,74,193,,
1,284.2,90,,,,,106,,,74,193,,
0,285,20,45,83,83,83,,,5,74,193,,
1,285.1,83,105,,,,107,,,74,193,,
1,285.2,83,107,,,,,137,5,74,193,,
0,326,3,33,83,83,83,,,0.5,74,193,28.8 m,15
1,326.1,83,,,,,99,,,74,193,,
1,326.2,83,106,170,170,170,,,1,74,193,,
2,326.21,170,,,,,180,,1,74,193,,
2,326.22,170,,,,,,,1,74,193,,
0,327,27,70,111,111,111,,,,74,193,,
1,327.1,111,,,,,116,,,74,193,,
1,327.2,111,,,,,116,,,74,193,,
0,328,30,54,94,94,94,,,1,74,193,,
1,328.1,94,125,165,165,165,,,1,74,193,,
1,328.2,94,127,184,184,184,,,1,74,193,,
2,328.11,165,,,,,172,,1,74,193,,
2,328.12,165,,,,,172,,1,74,193,,
2,328.21,184,,,,,,,1,74,193,,
2,328.22,184,,,,,,,1,74,193,,
0,329,3,46,76,76,76,,,0.5,74,193,,
1,329.1,76,98,151,151,151,,,,74,193,,
1,329.2,76,100,160,160,160,,,1,74,193,,
2,329.11,151,,,,,169,,,74,193,,
2,329.12,151,,,,,169,,,74,193,,
2,329.21,160,,,,,,172,1,74,193,,
2,329.22,160,,,,,,184,1,74,193,,
0,330,,56,97,97,97,,,1,74,193,,
1,330.1,97,125,166,166,166,,,1,74,193,,
1,330.2,97,125,168,168,168,,,1,74,193,,
2,330.21,168,,,,,,,1,74,193,,
